,0
14401,0
14402,0
14403,1
14404,1
14405,0
14406,0
14407,0
14408,1
14409,1
14410,0
14411,0
14412,1
14413,1
14414,1
14415,0
14416,0
14417,1
14418,0
14419,1
14420,1
14421,0
14422,0
14423,0
14424,0
14425,0
14426,1
14427,1
14428,1
14429,1
14430,0
14431,0
14432,0
14433,0
14434,0
14435,0
14436,1
14437,1
14438,1
14439,1
14440,1
14441,0
14442,0
14443,0
14444,0
14445,0
14446,1
14447,1
14448,1
14449,0
14450,0
14451,1
14452,0
14453,1
14454,1
14455,0
14456,0
14457,0
14458,1
14459,1
14460,1
14461,0
14462,0
14463,0
14464,0
14465,0
14466,1
14467,1
14468,1
14469,1
14470,1
14471,1
14472,1
14473,1
14474,1
14475,1
14476,0
14477,1
14478,1
14479,1
14480,-1
14481,0
14482,0
14483,0
14484,1
14485,1
14486,1
14487,0
14488,0
14489,0
14490,1
14491,1
14492,1
14493,1
14494,0
14495,0
14496,1
14497,1
14498,1
14499,1
14500,0
14501,0
14502,0
14503,0
14504,0
14505,0
14506,1
14507,0
14508,1
14509,1
14510,0
14511,0
14512,0
14513,1
14514,0
14515,0
14516,0
14517,0
14518,0
14519,1
14520,1
14521,1
14522,1
14523,1
14524,0
14525,0
14526,1
14527,0
14528,0
14529,0
14530,1
14531,1
14532,1
14533,0
14534,0
14535,0
14536,1
14537,0
14538,0
14539,0
14540,1
14541,1
14542,1
14543,0
14544,0
14545,1
14546,1
14547,0
14548,0
14549,0
14550,1
14551,1
14552,0
14553,0
14554,1
14555,1
14556,0
14557,0
14558,1
14559,1
14560,1
14561,1
14562,1
14563,1
14564,1
14565,1
14566,0
14567,0
14568,1
14569,1
14570,1
14571,1
14572,1
14573,0
14574,0
14575,0
14576,0
14577,0
14578,1
14579,1
14580,1
14581,1
14582,1
14583,0
14584,1
14585,1
14586,1
14587,0
14588,0
14589,0
14590,0
14591,1
14592,1
14593,1
14594,1
14595,0
14596,0
14597,1
14598,1
14599,0
14600,0
14601,0
14602,0
14603,0
14604,0
14605,1
14606,1
14607,0
14608,0
14609,0
14610,0
14611,0
14612,1
14613,1
14614,1
14615,1
14616,0
14617,0
14618,1
14619,1
14620,0
14621,0
14622,1
14623,1
14624,1
14625,1
14626,0
14627,0
14628,1
14629,1
14630,1
14631,1
14632,0
14633,0
14634,0
14635,1
14636,1
14637,0
14638,0
14639,1
14640,1
14641,0
14642,0
14643,0
14644,0
14645,0
14646,0
14647,1
14648,0
14649,1
14650,1
14651,0
14652,1
14653,1
14654,1
14655,0
14656,1
14657,0
14658,0
14659,1
14660,0
14661,0
14662,1
14663,1
14664,0
14665,1
14666,1
14667,0
14668,1
14669,0
14670,0
14671,1
14672,0
14673,1
14674,1
14675,1
14676,0
14677,0
14678,0
14679,1
14680,1
14681,1
14682,1
14683,0
14684,0
14685,1
14686,0
14687,1
14688,1
14689,-1
14690,1
14691,1
14692,1
14693,1
14694,0
14695,0
14696,0
14697,0
14698,0
14699,0
14700,1
14701,1
14702,0
14703,1
14704,0
14705,0
14706,0
14707,0
14708,1
14709,1
14710,1
14711,1
14712,-1
14713,1
14714,1
14715,1
14716,1
14717,0
14718,0
14719,1
14720,0
14721,0
14722,1
14723,1
14724,1
14725,1
14726,1
14727,1
14728,0
14729,0
14730,0
14731,1
14732,1
14733,0
14734,0
14735,1
14736,0
14737,0
14738,1
14739,1
14740,0
14741,1
14742,1
14743,1
14744,1
14745,0
14746,0
14747,1
14748,1
14749,0
14750,0
14751,0
14752,1
14753,1
14754,1
14755,1
14756,1
14757,1
14758,1
14759,0
14760,0
14761,0
14762,0
14763,0
14764,1
14765,1
14766,1
14767,1
14768,1
14769,1
14770,1
14771,0
14772,1
14773,1
14774,0
14775,0
14776,1
14777,1
14778,1
14779,0
14780,1
14781,1
14782,1
14783,1
14784,1
14785,1
14786,1
14787,0
14788,0
14789,1
14790,1
14791,1
14792,1
14793,0
14794,0
14795,0
14796,0
14797,0
14798,1
14799,1
14800,1
14801,1
14802,1
14803,1
14804,1
14805,1
14806,1
14807,1
14808,0
14809,1
14810,1
14811,1
14812,0
14813,0
14814,0
14815,1
14816,0
14817,0
14818,1
14819,1
14820,0
14821,1
14822,1
14823,1
14824,1
14825,0
14826,1
14827,0
14828,0
14829,1
14830,0
14831,0
14832,0
14833,1
14834,0
14835,1
14836,0
14837,0
14838,0
14839,0
14840,0
14841,1
14842,1
14843,0
14844,0
14845,0
14846,0
14847,1
14848,1
14849,1
14850,1
14851,1
14852,1
14853,0
14854,0
14855,0
14856,1
14857,1
14858,0
14859,1
14860,1
14861,0
14862,0
14863,0
14864,0
14865,0
14866,1
14867,1
14868,1
14869,1
14870,1
14871,0
14872,0
14873,0
14874,1
14875,0
14876,0
14877,0
14878,0
14879,0
14880,1
14881,1
14882,1
14883,1
14884,0
14885,1
14886,1
14887,1
14888,1
14889,1
14890,0
14891,0
14892,0
14893,0
14894,0
14895,0
14896,1
14897,1
14898,0
14899,0
14900,1
14901,0
14902,0
14903,0
14904,0
14905,1
14906,1
14907,1
14908,0
14909,0
14910,0
14911,1
14912,1
14913,0
14914,0
14915,0
14916,1
14917,0
14918,0
14919,1
14920,1
14921,1
14922,1
14923,0
14924,0
14925,1
14926,1
14927,0
14928,1
14929,1
14930,1
14931,1
14932,0
14933,0
14934,1
14935,1
14936,0
14937,0
14938,1
14939,1
14940,1
14941,0
14942,0
14943,0
14944,0
14945,0
14946,0
14947,0
14948,-1
14949,1
14950,1
14951,1
14952,1
14953,0
14954,1
14955,1
14956,1
14957,0
14958,0
14959,1
14960,1
14961,1
14962,0
14963,1
14964,1
14965,1
14966,1
14967,1
14968,1
14969,0
14970,1
14971,1
14972,0
14973,0
14974,0
14975,0
14976,1
14977,1
14978,1
14979,1
14980,1
14981,0
14982,1
14983,0
14984,1
14985,1
14986,0
14987,0
14988,1
14989,0
14990,1
14991,1
14992,0
14993,0
14994,1
14995,0
14996,0
14997,0
14998,0
14999,0
15000,1
15001,0
15002,0
15003,0
15004,0
15005,0
15006,1
15007,0
15008,0
15009,0
15010,0
15011,1
15012,1
15013,1
15014,1
15015,0
15016,0
15017,0
15018,0
15019,0
15020,0
15021,0
15022,1
15023,1
15024,1
15025,1
15026,1
15027,1
15028,1
15029,1
15030,0
15031,0
15032,1
15033,1
15034,0
15035,0
15036,1
15037,1
15038,1
15039,1
15040,0
15041,0
15042,1
15043,0
15044,0
15045,1
15046,0
15047,0
15048,0
15049,0
15050,0
15051,0
15052,0
15053,0
15054,1
15055,1
15056,1
15057,0
15058,0
15059,1
15060,1
15061,1
15062,1
15063,0
15064,1
15065,1
15066,0
15067,0
15068,1
15069,1
15070,1
15071,1
15072,0
15073,0
15074,0
15075,1
15076,1
15077,1
15078,0
15079,1
15080,0
15081,0
15082,1
15083,1
15084,1
15085,1
15086,0
15087,0
15088,0
15089,0
15090,0
15091,0
15092,1
15093,1
15094,1
15095,1
15096,1
15097,1
15098,1
15099,1
15100,1
15101,0
15102,0
15103,1
15104,1
15105,0
15106,0
15107,1
15108,0
15109,1
15110,1
15111,1
15112,0
15113,0
15114,1
15115,1
15116,0
15117,1
15118,1
15119,0
15120,0
15121,0
15122,0
15123,1
15124,1
15125,1
15126,0
15127,0
15128,0
15129,1
15130,1
15131,0
15132,0
15133,0
15134,1
15135,1
15136,1
15137,1
15138,1
15139,0
15140,1
15141,1
15142,-1
15143,0
15144,0
15145,0
15146,0
15147,0
15148,0
15149,1
15150,1
15151,0
15152,0
15153,0
15154,0
15155,0
15156,1
15157,1
15158,1
15159,0
15160,0
15161,1
15162,0
15163,0
15164,1
15165,1
15166,1
15167,1
15168,1
15169,1
15170,0
15171,0
15172,1
15173,0
15174,0
15175,1
15176,0
15177,0
15178,1
15179,1
15180,1
15181,1
15182,1
15183,1
15184,1
15185,1
15186,1
15187,1
15188,1
15189,1
15190,-1
15191,1
15192,1
15193,1
15194,1
15195,1
15196,1
15197,1
15198,1
15199,1
15200,1
15201,1
15202,1
15203,1
15204,1
15205,1
15206,1
15207,0
15208,0
15209,0
15210,0
15211,1
15212,0
15213,0
15214,1
15215,1
15216,0
15217,0
15218,1
15219,1
15220,0
15221,0
15222,0
15223,0
15224,1
15225,-1
15226,0
15227,0
15228,1
15229,1
15230,1
15231,1
15232,1
15233,1
15234,0
15235,0
15236,0
15237,0
15238,1
15239,1
15240,0
15241,0
15242,1
15243,1
15244,1
15245,1
15246,1
15247,1
15248,0
15249,0
15250,1
15251,1
15252,1
15253,0
15254,0
15255,0
15256,1
15257,1
15258,0
15259,0
15260,1
15261,1
15262,0
15263,0
15264,1
15265,1
15266,1
15267,1
15268,1
15269,0
15270,0
15271,0
15272,0
15273,0
15274,0
15275,0
15276,1
15277,1
15278,0
15279,1
15280,0
15281,0
15282,1
15283,0
15284,0
15285,1
15286,0
15287,0
15288,0
15289,0
15290,0
15291,1
15292,0
15293,1
15294,0
15295,0
15296,0
15297,1
15298,0
15299,0
15300,1
15301,1
15302,1
15303,1
15304,1
15305,1
15306,0
15307,1
15308,1
15309,0
15310,0
15311,0
15312,0
15313,1
15314,1
15315,0
15316,1
15317,0
15318,1
15319,1
15320,0
15321,0
15322,0
15323,0
15324,0
15325,0
15326,0
15327,0
15328,0
15329,0
15330,1
15331,1
15332,1
15333,1
15334,1
15335,0
15336,0
15337,0
15338,1
15339,1
15340,1
15341,1
15342,0
15343,0
15344,1
15345,1
15346,0
15347,0
15348,0
15349,0
15350,1
15351,1
15352,0
15353,0
15354,0
15355,1
15356,1
15357,1
15358,1
15359,-1
15360,1
15361,1
15362,0
15363,0
15364,0
15365,0
15366,0
15367,0
15368,0
15369,0
15370,0
15371,0
15372,0
15373,0
15374,0
15375,1
15376,1
15377,1
15378,0
15379,1
15380,1
15381,0
15382,0
15383,0
15384,1
15385,1
15386,1
15387,0
15388,0
15389,0
15390,0
15391,0
15392,0
15393,0
15394,0
15395,1
15396,1
15397,0
15398,1
15399,0
15400,0
15401,1
15402,1
15403,1
15404,1
15405,1
15406,1
15407,1
15408,0
15409,1
15410,1
15411,0
15412,0
15413,0
15414,1
15415,1
15416,1
15417,1
15418,1
15419,0
15420,1
15421,0
15422,0
15423,1
15424,0
15425,0
15426,0
15427,0
15428,1
15429,1
15430,1
15431,1
15432,0
15433,0
15434,0
15435,0
15436,0
15437,0
15438,0
15439,0
15440,1
15441,0
15442,0
15443,0
15444,0
15445,0
15446,0
15447,0
15448,0
15449,1
15450,1
15451,1
15452,0
15453,0
15454,0
15455,0
15456,1
15457,1
15458,0
15459,0
15460,0
15461,1
15462,1
15463,1
15464,1
15465,1
15466,0
15467,0
15468,0
15469,1
15470,1
15471,1
15472,1
15473,1
15474,-1
15475,1
15476,1
15477,0
15478,1
15479,-1
15480,0
15481,1
15482,1
15483,1
15484,1
15485,1
15486,1
15487,1
15488,0
15489,1
15490,1
15491,1
15492,1
15493,0
15494,1
15495,1
15496,1
15497,0
15498,1
15499,1
15500,1
15501,1
15502,1
15503,1
15504,0
15505,0
15506,1
15507,1
15508,1
15509,1
15510,1
15511,1
15512,0
15513,0
15514,0
15515,1
15516,1
15517,0
15518,0
15519,1
15520,0
15521,0
15522,1
15523,1
15524,1
15525,1
15526,1
15527,0
15528,0
15529,0
15530,0
15531,0
15532,0
15533,0
15534,1
15535,1
15536,0
15537,1
15538,1
15539,0
15540,0
15541,0
15542,0
15543,0
15544,1
15545,1
15546,1
15547,1
15548,1
15549,1
15550,0
15551,0
15552,0
15553,1
15554,0
15555,0
15556,1
15557,1
15558,0
15559,0
15560,1
15561,1
15562,0
15563,0
15564,1
15565,0
15566,0
15567,0
15568,0
15569,1
15570,1
15571,1
15572,1
15573,0
15574,0
15575,0
15576,1
15577,1
15578,1
15579,0
15580,0
15581,1
15582,0
15583,0
15584,0
15585,0
15586,0
15587,0
15588,1
15589,1
15590,0
15591,0
15592,0
15593,0
15594,0
15595,0
15596,0
15597,0
15598,0
15599,0
15600,1
15601,1
15602,1
15603,1
15604,1
15605,1
15606,0
15607,0
15608,1
15609,1
15610,0
15611,1
15612,1
15613,1
15614,1
15615,1
15616,1
15617,1
15618,0
15619,0
15620,0
15621,0
15622,1
15623,1
15624,1
15625,1
15626,1
15627,1
15628,0
15629,1
15630,1
15631,0
15632,0
15633,0
15634,1
15635,1
15636,0
15637,0
15638,0
15639,0
15640,0
15641,0
15642,1
15643,1
15644,1
15645,0
15646,0
15647,1
15648,1
15649,1
15650,0
15651,0
15652,0
15653,1
15654,1
15655,1
15656,0
15657,0
15658,1
15659,1
15660,1
15661,0
15662,0
15663,0
15664,0
15665,0
15666,0
15667,0
15668,0
15669,1
15670,1
15671,1
15672,1
15673,1
15674,1
15675,1
15676,1
15677,1
15678,1
15679,1
15680,0
15681,0
