,0
74570,0
74571,0
74572,1
74573,0
74574,1
74575,1
74576,1
74577,1
74578,0
74579,1
74580,1
74581,0
74582,1
74583,0
74584,1
74585,1
74586,0
74587,0
74588,1
74589,1
74590,1
74591,1
74592,0
74593,0
74594,1
74595,1
74596,0
74597,0
74598,1
74599,0
74600,0
74601,1
74602,0
74603,1
74604,0
74605,1
74606,1
74607,1
74608,1
74609,0
74610,1
74611,0
74612,0
74613,0
74614,1
74615,0
74616,0
74617,1
74618,0
74619,1
74620,0
74621,0
74622,1
74623,0
74624,1
74625,1
74626,0
74627,1
74628,1
74629,1
74630,0
74631,0
74632,0
74633,0
74634,1
74635,0
74636,1
74637,0
74638,1
74639,1
74640,1
74641,0
74642,1
74643,0
74644,0
74645,0
74646,0
74647,1
74648,0
74649,1
74650,0
74651,0
74652,0
74653,0
74654,1
74655,1
74656,1
74657,1
74658,0
74659,0
74660,1
74661,1
74662,0
74663,1
74664,1
74665,0
74666,0
74667,1
74668,0
74669,1
74670,0
74671,1
74672,1
74673,1
74674,1
74675,1
74676,-1
74677,1
74678,1
74679,0
74680,0
74681,0
74682,0
74683,1
74684,-1
74685,1
74686,1
74687,1
74688,0
74689,0
74690,1
74691,-1
74692,0
74693,0
74694,0
74695,1
74696,0
74697,0
74698,0
74699,0
74700,0
74701,0
74702,0
74703,1
74704,1
74705,0
74706,1
74707,0
74708,0
74709,1
74710,1
74711,1
74712,1
74713,1
74714,0
74715,0
74716,0
74717,1
74718,0
74719,0
74720,0
74721,0
74722,0
74723,0
74724,0
74725,1
74726,1
74727,1
74728,0
74729,0
74730,1
74731,1
74732,1
74733,-1
74734,1
74735,1
74736,1
74737,1
74738,0
74739,1
74740,1
74741,0
74742,1
74743,0
74744,0
74745,0
74746,0
74747,0
74748,1
74749,1
74750,1
74751,1
74752,0
74753,1
74754,0
74755,0
74756,1
74757,0
74758,1
74759,1
74760,1
74761,1
74762,1
74763,1
74764,0
74765,1
74766,0
74767,0
74768,1
74769,1
74770,0
74771,1
74772,0
74773,0
74774,1
74775,0
74776,1
74777,0
74778,0
74779,0
74780,0
74781,1
74782,0
74783,1
74784,0
74785,0
74786,0
74787,0
74788,0
74789,1
74790,0
74791,1
74792,0
74793,1
74794,0
74795,1
74796,1
74797,1
74798,0
74799,0
74800,1
74801,1
74802,1
74803,1
74804,0
74805,0
74806,1
74807,1
74808,1
74809,1
74810,0
74811,-1
74812,-1
74813,1
74814,1
74815,1
74816,-1
74817,0
74818,0
74819,1
74820,0
74821,1
74822,0
74823,1
74824,0
74825,0
74826,1
74827,0
74828,1
74829,1
74830,0
74831,1
74832,0
74833,0
74834,0
74835,1
74836,0
74837,0
74838,0
74839,1
74840,0
74841,1
74842,1
74843,1
74844,0
74845,1
74846,0
74847,0
74848,1
74849,0
74850,0
74851,0
74852,1
74853,0
74854,1
74855,0
74856,0
74857,0
74858,1
74859,1
74860,0
74861,0
74862,1
74863,1
74864,1
74865,1
74866,0
74867,0
74868,1
74869,1
74870,0
74871,0
74872,1
74873,1
74874,1
74875,0
74876,0
74877,1
74878,0
74879,0
74880,0
74881,1
74882,0
74883,1
74884,0
74885,1
74886,1
74887,0
74888,1
74889,0
74890,1
74891,0
74892,1
74893,0
74894,1
74895,1
74896,0
74897,0
74898,0
74899,0
74900,0
74901,1
74902,1
74903,1
74904,1
74905,0
74906,1
74907,0
74908,1
74909,0
74910,1
74911,0
74912,-1
74913,1
74914,1
74915,1
74916,1
74917,0
74918,0
74919,1
74920,0
74921,1
74922,0
74923,1
74924,0
74925,0
74926,0
74927,1
74928,-1
74929,0
74930,0
74931,0
74932,0
74933,0
74934,0
74935,1
74936,0
74937,1
74938,-1
74939,0
74940,0
74941,1
74942,0
74943,0
74944,1
74945,1
74946,0
74947,1
74948,0
74949,0
74950,0
74951,1
74952,1
74953,1
74954,1
74955,0
74956,1
74957,0
74958,1
74959,0
74960,0
74961,1
74962,1
74963,0
74964,-1
74965,0
74966,0
74967,0
74968,0
74969,1
74970,1
74971,0
74972,1
74973,0
74974,1
74975,1
74976,1
74977,0
74978,0
74979,1
74980,0
74981,1
74982,0
74983,1
74984,0
74985,1
74986,0
74987,1
74988,1
74989,0
74990,1
74991,0
74992,0
74993,1
74994,0
74995,0
74996,1
74997,1
74998,0
74999,1
75000,0
75001,1
75002,1
75003,0
75004,-1
75005,0
75006,0
75007,1
75008,1
75009,0
75010,1
75011,1
75012,1
75013,0
75014,1
75015,0
75016,-1
75017,0
75018,0
75019,0
75020,1
75021,0
75022,0
75023,1
75024,0
75025,1
75026,1
75027,0
75028,1
75029,0
75030,1
75031,1
75032,1
75033,1
75034,1
75035,0
75036,1
75037,0
75038,1
75039,1
75040,0
75041,1
75042,1
75043,0
75044,0
75045,1
75046,1
75047,0
75048,1
75049,1
75050,1
75051,0
75052,0
75053,0
75054,1
75055,1
75056,0
75057,1
75058,1
75059,0
75060,1
75061,1
75062,1
75063,0
75064,1
75065,1
75066,1
75067,0
75068,0
75069,0
75070,1
75071,0
75072,0
75073,0
75074,1
75075,1
75076,0
75077,1
75078,0
75079,1
75080,1
75081,1
75082,0
75083,0
75084,1
75085,0
75086,1
75087,0
75088,1
75089,0
75090,1
75091,1
75092,1
75093,0
75094,0
75095,1
75096,0
75097,0
75098,1
75099,1
75100,1
75101,-1
75102,1
75103,1
75104,1
75105,1
75106,1
75107,0
75108,1
75109,0
75110,0
75111,1
75112,1
75113,1
75114,0
75115,1
75116,0
75117,0
75118,0
75119,0
75120,0
75121,1
75122,1
75123,0
75124,1
75125,0
75126,1
75127,1
75128,1
75129,1
75130,0
75131,1
75132,0
75133,1
75134,0
75135,0
75136,0
75137,-1
75138,0
75139,0
75140,1
75141,1
75142,1
75143,0
75144,1
75145,1
75146,1
75147,1
75148,0
75149,-1
75150,0
75151,0
75152,1
75153,0
75154,0
75155,1
75156,1
75157,0
75158,1
75159,0
75160,1
75161,0
75162,0
75163,0
75164,1
75165,0
75166,0
75167,1
75168,0
75169,0
75170,1
75171,1
75172,1
75173,1
75174,1
75175,1
75176,0
75177,0
75178,0
75179,1
75180,0
75181,1
75182,1
75183,1
75184,0
75185,0
75186,0
75187,0
75188,1
75189,0
75190,1
75191,1
75192,1
75193,0
75194,0
75195,0
75196,0
75197,-1
75198,0
75199,0
75200,0
75201,0
75202,0
75203,1
75204,-1
75205,1
75206,1
75207,0
75208,1
75209,1
75210,1
75211,1
75212,1
75213,0
75214,1
75215,0
75216,1
75217,0
75218,1
75219,1
75220,0
75221,0
75222,1
75223,0
75224,0
75225,0
75226,1
75227,0
75228,1
75229,1
75230,0
75231,0
75232,0
75233,1
75234,1
75235,0
75236,0
75237,0
75238,1
75239,1
75240,0
75241,1
75242,1
75243,0
75244,1
75245,1
75246,0
75247,0
75248,1
75249,0
75250,0
75251,1
75252,1
75253,1
75254,1
75255,0
75256,1
75257,1
75258,0
75259,0
75260,1
75261,0
75262,1
75263,0
75264,0
75265,0
75266,0
75267,0
75268,0
75269,1
75270,0
75271,1
75272,0
75273,1
75274,0
75275,1
75276,0
75277,1
75278,0
75279,1
75280,0
75281,0
75282,1
75283,1
75284,0
75285,0
75286,1
75287,1
75288,0
75289,1
75290,1
75291,1
