,0
14401,0
14402,1
14403,1
14404,0
14405,0
14406,0
14407,0
14408,1
14409,0
14410,1
14411,1
14412,1
14413,0
14414,0
14415,1
14416,1
14417,0
14418,0
14419,0
14420,1
14421,0
14422,0
14423,0
14424,0
14425,0
14426,0
14427,0
14428,1
14429,1
14430,0
14431,1
14432,0
14433,0
14434,1
14435,1
14436,1
14437,1
14438,1
14439,0
14440,0
14441,0
14442,1
14443,0
14444,0
14445,0
14446,0
14447,0
14448,0
14449,0
14450,1
14451,1
14452,1
14453,0
14454,0
14455,1
14456,1
14457,1
14458,0
14459,1
14460,1
14461,1
14462,1
14463,0
14464,1
14465,1
14466,0
14467,1
14468,0
14469,0
14470,0
14471,0
14472,0
14473,1
14474,1
14475,1
14476,1
14477,0
14478,1
14479,0
14480,0
14481,1
14482,0
14483,1
14484,1
14485,1
14486,1
14487,1
14488,1
14489,0
14490,1
14491,0
14492,0
14493,1
14494,1
14495,0
14496,1
14497,0
14498,0
14499,1
14500,0
14501,1
14502,0
14503,0
14504,0
14505,0
14506,1
14507,0
14508,1
14509,0
14510,0
14511,0
14512,0
14513,0
14514,1
14515,0
14516,1
14517,0
14518,1
14519,0
14520,1
14521,1
14522,1
14523,0
14524,0
14525,1
14526,1
14527,1
14528,1
14529,0
14530,0
14531,1
14532,1
14533,1
14534,1
14535,0
14536,0
14537,0
14538,1
14539,1
14540,1
14541,1
14542,0
14543,0
14544,1
14545,0
14546,1
14547,0
14548,1
14549,0
14550,0
14551,1
14552,0
14553,1
14554,1
14555,0
14556,1
14557,0
14558,0
14559,0
14560,1
14561,0
14562,0
14563,0
14564,1
14565,0
14566,1
14567,1
14568,1
14569,0
14570,1
14571,0
14572,0
14573,1
14574,0
14575,0
14576,0
14577,1
14578,0
14579,1
14580,0
14581,0
14582,0
14583,1
14584,1
14585,0
14586,0
14587,1
14588,1
14589,1
14590,1
14591,0
14592,0
14593,1
14594,1
14595,0
14596,0
14597,1
14598,1
14599,1
14600,0
14601,0
14602,1
14603,0
14604,0
14605,0
14606,1
14607,0
14608,1
14609,0
14610,1
14611,1
14612,0
14613,1
14614,0
14615,1
14616,0
14617,1
14618,0
14619,1
14620,1
14621,0
14622,0
14623,0
14624,0
14625,0
14626,1
14627,1
14628,1
14629,1
14630,0
14631,1
14632,0
14633,1
14634,0
14635,1
14636,0
14637,0
14638,1
14639,1
14640,1
14641,1
14642,0
14643,0
14644,1
14645,0
14646,1
14647,0
14648,1
14649,0
14650,0
14651,0
14652,1
14653,1
14654,0
14655,0
14656,0
14657,0
14658,0
14659,0
14660,1
14661,0
14662,1
14663,1
14664,0
14665,0
14666,1
14667,0
14668,0
14669,1
14670,1
14671,0
14672,1
14673,0
14674,0
14675,0
14676,1
14677,1
14678,1
14679,1
14680,0
14681,1
14682,0
14683,1
14684,0
14685,0
14686,1
14687,1
14688,0
14689,1
14690,0
14691,0
14692,0
14693,0
14694,1
14695,1
14696,0
14697,1
14698,0
14699,1
14700,1
14701,1
14702,0
14703,0
14704,1
14705,0
14706,1
14707,0
14708,1
14709,0
14710,1
14711,0
14712,1
14713,1
14714,0
14715,1
14716,0
14717,0
14718,1
14719,0
14720,0
14721,1
14722,1
14723,0
14724,1
14725,0
14726,1
14727,1
14728,0
14729,1
14730,0
14731,0
14732,1
14733,1
14734,0
14735,1
14736,1
14737,1
14738,0
14739,1
14740,0
14741,1
14742,0
14743,0
14744,0
14745,1
14746,0
14747,0
14748,1
14749,0
14750,1
14751,1
14752,0
14753,1
14754,0
14755,1
14756,1
14757,1
14758,1
14759,1
14760,0
14761,1
14762,0
14763,1
14764,1
14765,0
14766,1
14767,1
14768,0
14769,0
14770,1
14771,1
14772,0
14773,1
14774,1
14775,1
14776,0
14777,0
14778,0
14779,1
14780,1
14781,0
14782,1
14783,1
14784,0
14785,1
14786,1
14787,1
14788,0
14789,1
14790,1
14791,1
14792,0
14793,0
14794,0
14795,1
14796,0
14797,0
14798,0
14799,1
14800,1
14801,0
14802,1
14803,0
14804,1
14805,1
14806,1
14807,0
14808,0
14809,1
14810,0
14811,1
14812,0
14813,1
14814,0
14815,1
14816,1
14817,1
14818,0
14819,0
14820,1
14821,0
14822,0
14823,1
14824,1
14825,1
14826,0
14827,1
14828,1
14829,1
14830,1
14831,1
14832,0
14833,1
14834,0
14835,0
14836,1
14837,1
14838,1
14839,0
14840,1
14841,0
14842,0
14843,0
14844,0
14845,0
14846,1
14847,1
14848,0
14849,1
14850,0
14851,1
14852,1
14853,1
14854,1
14855,0
14856,1
14857,0
14858,1
14859,0
14860,0
14861,0
14862,1
14863,0
14864,0
14865,1
14866,1
14867,1
14868,0
14869,1
14870,1
14871,1
14872,1
14873,0
14874,1
14875,0
14876,0
14877,1
14878,0
14879,0
14880,1
14881,1
14882,0
14883,1
14884,0
14885,1
14886,0
14887,0
14888,0
14889,1
14890,0
14891,0
14892,1
14893,0
14894,0
14895,1
14896,1
14897,1
14898,1
14899,1
14900,1
14901,0
14902,0
14903,0
14904,1
14905,0
14906,1
14907,1
14908,1
14909,0
14910,0
14911,0
14912,0
14913,1
14914,0
14915,1
14916,1
14917,1
14918,0
14919,0
14920,0
14921,0
14922,1
14923,0
14924,0
14925,0
14926,0
14927,0
14928,1
14929,0
14930,1
14931,1
14932,0
14933,1
14934,1
14935,1
14936,1
14937,1
14938,0
14939,1
14940,0
14941,1
14942,0
14943,1
14944,1
14945,0
14946,0
14947,1
14948,0
14949,0
14950,0
14951,1
14952,0
14953,1
14954,1
14955,0
14956,0
14957,0
14958,1
14959,1
14960,0
14961,0
14962,0
14963,1
14964,1
14965,0
14966,1
14967,1
14968,0
14969,1
14970,1
14971,0
14972,0
14973,1
14974,0
14975,0
14976,1
14977,1
14978,1
14979,1
14980,0
14981,1
14982,1
14983,0
14984,0
14985,1
14986,0
14987,1
14988,0
14989,0
14990,0
14991,0
14992,0
14993,0
14994,1
14995,0
14996,1
14997,0
14998,1
14999,0
15000,1
15001,0
15002,1
15003,0
15004,1
15005,0
15006,0
15007,1
15008,1
15009,0
15010,0
15011,1
15012,1
15013,0
