,0
14401,0
14402,1
14403,1
14404,0
14405,0
14406,0
14407,1
14408,1
14409,0
14410,0
14411,1
14412,1
14413,1
14414,0
14415,0
14416,1
14417,0
14418,1
14419,1
14420,0
14421,0
14422,0
14423,0
14424,0
14425,1
14426,1
14427,1
14428,1
14429,0
14430,0
14431,0
14432,0
14433,0
14434,0
14435,1
14436,1
14437,1
14438,1
14439,1
14440,0
14441,0
14442,0
14443,0
14444,0
14445,1
14446,1
14447,1
14448,0
14449,0
14450,1
14451,0
14452,1
14453,1
14454,0
14455,0
14456,0
14457,1
14458,1
14459,1
14460,0
14461,0
14462,0
14463,0
14464,0
14465,1
14466,1
14467,1
14468,1
14469,1
14470,1
14471,1
14472,1
14473,1
14474,1
14475,0
14476,1
14477,1
14478,1
14479,1
14480,0
14481,0
14482,0
14483,1
14484,1
14485,1
14486,0
14487,0
14488,0
14489,1
14490,1
14491,1
14492,1
14493,0
14494,0
14495,1
14496,1
14497,1
14498,1
14499,0
14500,0
14501,0
14502,0
14503,0
14504,0
14505,1
14506,0
14507,1
14508,1
14509,0
14510,0
14511,0
14512,1
14513,0
14514,0
14515,0
14516,0
14517,0
14518,1
14519,1
14520,1
14521,1
14522,1
14523,0
14524,0
14525,1
14526,0
14527,0
14528,0
14529,1
14530,1
14531,1
14532,0
14533,0
14534,0
14535,1
14536,0
14537,0
14538,0
14539,1
14540,1
14541,1
14542,0
14543,0
14544,1
14545,1
14546,0
14547,0
14548,0
14549,1
14550,1
14551,0
14552,0
14553,1
14554,1
14555,0
14556,0
14557,1
14558,1
14559,1
14560,1
14561,1
14562,1
14563,1
14564,1
14565,0
14566,0
14567,1
14568,1
14569,1
14570,1
14571,1
14572,0
14573,0
14574,0
14575,0
14576,0
14577,1
14578,1
14579,1
14580,1
14581,1
14582,0
14583,1
14584,1
14585,1
14586,0
14587,0
14588,0
14589,0
14590,1
14591,1
14592,1
14593,1
14594,0
14595,0
14596,1
14597,1
14598,0
14599,0
14600,0
14601,0
14602,0
14603,0
14604,1
14605,1
14606,0
14607,0
14608,0
14609,0
14610,0
14611,1
14612,1
14613,1
14614,1
14615,0
14616,0
14617,1
14618,1
14619,0
14620,0
14621,1
14622,1
14623,1
14624,1
14625,0
14626,0
14627,1
14628,1
14629,1
14630,1
14631,0
14632,0
14633,0
14634,1
14635,1
14636,0
14637,0
14638,1
14639,1
14640,0
14641,0
14642,0
14643,0
14644,0
14645,0
14646,1
14647,0
14648,1
14649,1
14650,0
14651,1
14652,1
14653,1
14654,0
14655,1
14656,0
14657,0
14658,1
14659,0
14660,0
14661,1
14662,1
14663,0
14664,1
14665,1
14666,0
14667,1
14668,0
14669,0
14670,1
14671,0
14672,1
14673,1
14674,1
14675,0
14676,0
14677,0
14678,1
14679,1
14680,1
14681,1
14682,0
14683,0
14684,1
14685,0
14686,1
14687,1
14688,-1
14689,1
14690,1
14691,1
14692,1
14693,0
14694,0
14695,0
14696,0
14697,0
14698,0
14699,1
14700,1
14701,0
14702,1
14703,0
14704,0
14705,0
14706,0
14707,1
14708,1
14709,1
14710,1
14711,0
14712,1
14713,1
14714,1
14715,1
14716,0
14717,0
14718,1
14719,0
14720,0
14721,1
14722,1
14723,1
14724,1
14725,1
14726,1
14727,0
14728,0
14729,0
14730,1
14731,1
14732,0
14733,0
14734,1
14735,0
14736,0
14737,1
14738,1
14739,0
14740,1
14741,1
14742,1
14743,1
14744,0
14745,0
14746,1
14747,1
14748,0
14749,0
14750,0
14751,1
14752,1
14753,1
14754,1
14755,1
14756,1
14757,1
14758,0
14759,0
14760,0
14761,0
14762,0
14763,1
14764,1
14765,1
14766,1
14767,1
14768,1
14769,1
14770,0
14771,1
14772,1
14773,0
14774,0
14775,1
14776,1
14777,1
14778,0
14779,1
14780,1
14781,1
14782,1
14783,1
14784,1
14785,1
14786,0
14787,0
14788,1
14789,1
14790,1
14791,1
14792,0
14793,0
14794,0
14795,0
14796,0
14797,1
14798,1
14799,1
14800,1
14801,1
14802,1
14803,1
14804,1
14805,1
14806,1
14807,0
14808,1
14809,1
14810,1
14811,0
14812,0
14813,0
14814,1
14815,0
14816,0
14817,1
14818,1
14819,0
14820,1
14821,1
14822,1
14823,1
14824,0
14825,1
14826,0
14827,0
14828,1
14829,0
14830,0
14831,0
14832,1
14833,0
14834,1
14835,0
14836,0
14837,0
14838,0
14839,0
14840,1
14841,1
14842,0
14843,0
14844,0
14845,0
14846,1
14847,1
14848,1
14849,1
14850,1
14851,1
14852,0
14853,0
14854,0
14855,1
14856,1
14857,0
14858,1
14859,1
14860,0
14861,0
14862,0
14863,0
14864,0
14865,1
14866,1
14867,1
14868,1
14869,1
14870,0
14871,0
14872,0
14873,1
14874,0
14875,0
14876,0
14877,0
14878,0
14879,1
14880,1
14881,1
14882,1
14883,0
14884,1
14885,1
14886,1
14887,1
14888,1
14889,0
14890,0
14891,0
14892,0
14893,0
14894,0
14895,1
14896,1
14897,0
14898,0
14899,1
14900,0
14901,0
14902,0
14903,0
14904,1
14905,1
14906,1
14907,0
14908,0
14909,0
14910,1
14911,1
14912,0
14913,0
14914,0
14915,1
14916,0
14917,0
14918,1
14919,1
14920,1
14921,1
14922,0
14923,0
14924,1
14925,1
14926,0
14927,1
14928,1
14929,1
14930,1
14931,0
14932,0
14933,1
14934,1
14935,0
14936,0
14937,1
14938,1
14939,1
14940,0
14941,0
14942,0
14943,0
14944,0
14945,0
14946,0
14947,0
14948,1
14949,1
14950,1
14951,1
14952,0
14953,1
14954,1
14955,1
14956,0
14957,0
14958,1
14959,1
14960,1
14961,0
14962,1
14963,1
14964,1
14965,1
14966,1
14967,1
14968,0
14969,1
14970,1
14971,0
14972,0
14973,0
14974,0
14975,1
14976,1
14977,1
14978,1
14979,1
14980,0
14981,1
14982,0
14983,1
14984,1
14985,0
14986,0
14987,1
14988,0
14989,1
14990,1
14991,0
14992,0
14993,1
14994,0
14995,0
14996,0
14997,0
14998,0
14999,1
15000,0
15001,0
15002,0
15003,0
15004,0
15005,1
15006,0
15007,0
15008,0
15009,0
15010,1
15011,1
15012,1
15013,1
